image,GT数,漏检FN,误检FP,漏检类,误检类
1334.jpg,4,0,4,,il60 il80 pl100 il80
13457.jpg,1,0,4,,p26 p11 p26 p11
14157.jpg,11,2,2,ph5 pl5,pl5 ph4
14459.jpg,4,2,2,pl60 pl50,pl40 pl40
14505.jpg,2,1,3,pl60,p5 p11 po
14663.jpg,9,1,3,p10,i2 p26 pl50
16395.jpg,4,3,1,po p11 po,p11
1774.jpg,3,1,3,pl60,p11 pl30 po
17912.jpg,7,2,2,i2 pl50,pne pl40
18247.jpg,6,2,2,il60 il60,il80 il80
19630.jpg,8,1,3,il80,il100 il60 pl120
20351.jpg,2,0,4,,pl40 p11 pne pn
21298.jpg,5,1,3,po,p5 pn pl80
21529.jpg,5,1,3,i2,io io io
22576.jpg,3,2,2,p23 i5,pn p5
23068.jpg,2,1,3,pl60,io pl80 pl50
24143.jpg,1,1,3,pm20,pl80 pl60 pl80
24352.jpg,6,2,2,p11 pl70,pl5 p26
25217.jpg,4,2,2,pl40 pl60,pl40 pl80
25579.jpg,3,1,3,i5,i5 i5 i5
2591.jpg,6,3,1,pl50 io p12,pl5
26242.jpg,3,1,3,w55,po w57 pl50
27354.jpg,1,0,4,,pn p11 pne pl60
2799.jpg,3,1,3,pl80,pl60 po pl40
28617.jpg,4,1,3,ph4.5,p26 ph5 il60
28763.jpg,7,1,3,pl50,i5 pl40 pl60
28808.jpg,6,2,2,ip pl60,pl40 pl80
29315.jpg,2,2,2,p12 p6,po po
29593.jpg,4,1,3,p6,io po p10
29597.jpg,7,2,2,pl50 p26,pl40 pn
35551.jpg,3,1,3,pm30,io pl30 p11
36342.jpg,5,3,1,p23 w32 p11,wo
364.jpg,2,1,3,pl30,pl80 p23 p23
36945.jpg,2,2,2,i4 i2,i5 i5
37242.jpg,1,1,3,p12,pl5 p11 po
39993.jpg,4,0,4,,pn i2 i4 p11
40799.jpg,4,2,2,pl80 pl5,pl40 p26
40995.jpg,2,1,3,il60,pl80 il100 pl120
41137.jpg,3,1,3,pl50,p11 pl40 pn
41274.jpg,5,1,3,pl80,pn p11 pl40
4134.jpg,2,1,3,po,pl5 po pl5
41568.jpg,6,2,2,pl60 pl60,pl50 pl5
42060.jpg,6,2,2,pl80 p26,pl50 pn
42372.jpg,3,3,1,pm20 pm20 pm20,pl40
43792.jpg,3,2,2,i4 pl60,pne i5
46070.jpg,2,0,4,,ph4.5 pl70 pl70 ph4
46630.jpg,2,1,3,pl60,io io pl40
47768.jpg,6,0,4,,pl80 il80 il100 il80
49843.jpg,2,1,3,pn,ph5 po p10
50345.jpg,3,1,3,p23,p19 pn p11
50510.jpg,2,2,2,p3 pne,pl5 w57
50732.jpg,3,0,4,,pn po po p11
51306.jpg,9,1,3,pl100,pl100 pl80 il60
53003.jpg,9,0,4,,p3 p26 il60 pl100
53311.jpg,1,0,4,,i4 pl40 i5 i4
55632.jpg,4,2,2,i4 pl50,pn pl40
57710.jpg,6,0,4,,pn p11 i2 i4
5841.jpg,4,2,2,pn p11,p10 po
58978.jpg,4,1,3,i4,pne pl50 i5
59031.jpg,1,1,3,pl60,pl40 w55 w32
59948.jpg,2,1,3,i4,pn pn i5
60137.jpg,7,2,2,pl50 p11,p26 pn
60484.jpg,6,3,1,p6 pl70 pl50,po
60598.jpg,3,0,4,,ph4.5 il60 p26 pl50
63201.jpg,9,2,2,pl100 pl80,il60 il80
67709.jpg,6,1,3,pl30,pl50 i2 pl60
68778.jpg,7,2,2,pl50 p11,pl40 i4
69435.jpg,2,1,3,p19,p5 po pn
69666.jpg,5,3,1,p26 p12 pl50,p10
71937.jpg,3,2,2,io i5,i5 pn
7219.jpg,3,3,1,p26 pl50 pn,ip
72688.jpg,4,0,4,,pn p26 po i4
72765.jpg,2,1,3,io,p10 io i4
73489.jpg,2,1,3,pl50,pn i5 p11
73970.jpg,3,1,3,p23,pn po p5
74380.jpg,8,2,2,pl30 pl30,pl80 pl50
74638.jpg,5,3,1,pl70 pn pn,pl30
76771.jpg,5,2,2,i4 p12,ph4.5 io
77343.jpg,2,2,2,p6 po,po pne
79688.jpg,7,3,1,i5 i5 i5,ph5
80117.jpg,4,2,2,pl40 pn,pl60 pn
81817.jpg,3,2,2,p6 ph5,p26 p26
82136.jpg,6,1,3,p12,po ph5 ph4.5
83895.jpg,8,1,3,pl80,p26 pl40 pl60
84374.jpg,6,3,1,p19 pl50 p11,p5
84586.jpg,5,3,1,pl60 p12 pl40,po
8558.jpg,6,2,2,il80 il60,il60 il60
86340.jpg,3,0,4,,p26 po po po
86368.jpg,6,3,1,i5 pne i5,p11
87665.jpg,1,1,3,ph4,wo ph4.5 p19
8783.jpg,1,1,3,w57,pn pl50 pl50
88015.jpg,4,2,2,pl40 p3,p26 pl50
88333.jpg,5,1,3,w57,pn pl50 po
88663.jpg,8,3,1,pl30 pl40 pl30,pl80
88999.jpg,5,2,2,pm20 pl70,pm30 pl60
89545.jpg,1,0,4,,pn pl80 i5 i5
89860.jpg,5,2,2,po p11,pn p26
8998.jpg,4,3,1,pl5 pl5 pl5,p23
90326.jpg,4,2,2,pl50 io,i2 pl40
90444.jpg,4,1,3,i4,pn pl50 i2
92572.jpg,9,0,4,,po io i2 pl20
92707.jpg,4,2,2,p10 po,p11 pr40
93045.jpg,4,2,2,il100 pl120,pl100 il60
9360.jpg,3,2,2,po p11,po pl5
94144.jpg,4,3,1,pl60 p11 io,pl30
94874.jpg,4,3,1,pl80 p26 po,pn
95056.jpg,2,1,3,pl60,p26 po p10
95393.jpg,4,1,3,pl60,p26 p26 pne
95561.jpg,6,2,2,pl20 ph5,pl30 p11
96501.jpg,2,1,3,pl40,w59 w59 w59
97536.jpg,3,0,4,,i5 pn ip i5
98129.jpg,4,1,3,pl80,pn pl60 pn
10191.jpg,3,2,1,i5 pm30,p11
10227.jpg,3,1,2,po,p11 pn
10375.jpg,3,1,2,po,p26 pl30
10523.jpg,5,2,1,p12 pl30,pl50
10570.jpg,11,2,1,po po,p11
117.jpg,9,1,2,pl80,pl100 il80
12552.jpg,2,1,2,w55,w57 wo
1301.jpg,4,0,3,,ph4.5 po ph4
13044.jpg,5,1,2,pl80,pl40 pl60
13059.jpg,2,2,1,pl60 pl40,pl30
14359.jpg,2,0,3,,pn p11 pl40
14484.jpg,1,1,2,pl5,p27 ph4.5
14625.jpg,3,3,0,pl60 pn p11,
15392.jpg,2,0,3,,io io io
15713.jpg,2,1,2,p11,pne p3
15766.jpg,4,1,2,pl60,pl40 pl60
15943.jpg,1,0,3,,w59 w59 w59
16360.jpg,5,1,2,p6,po pn
1642.jpg,6,2,1,il60 il60,il80
18024.jpg,2,1,2,p23,pl5 po
18029.jpg,3,0,3,,pn p11 p11
18071.jpg,5,1,2,i2,i5 w55
18506.jpg,2,1,2,i4,pn i2
18509.jpg,1,1,2,pm20,i5 pl40
18569.jpg,2,0,3,,p5 pn pl50
18639.jpg,5,2,1,pl50 p11,pn
18716.jpg,3,1,2,p23,pl40 po
18720.jpg,5,0,3,,p5 il80 il100
1891.jpg,4,0,3,,i2 pn p11
18925.jpg,2,2,1,w13 pl20,pg
193.jpg,1,0,3,,pl5 po p11
19801.jpg,1,1,2,pl60,pl30 w32
204.jpg,2,0,3,,pn pn pl50
21126.jpg,8,1,2,i4,io pl40
22433.jpg,3,1,2,p6,io po
22436.jpg,3,1,2,pl80,pl40 pl60
22673.jpg,3,0,3,,io io io
23320.jpg,4,2,1,i5 i2,i2
23384.jpg,2,1,2,pm30,pl40 pl5
23791.jpg,6,0,3,,p12 p12 ph5
24205.jpg,2,1,2,pl20,pl70 pm20
24993.jpg,2,0,3,,w57 p5 pl70
25220.jpg,2,1,2,pl60,io io
25226.jpg,5,1,2,p6,po po
25722.jpg,7,1,2,pl80,il80 il100
2604.jpg,4,2,1,p5 io,i5
26243.jpg,3,2,1,pl60 p11,pl80
26310.jpg,1,0,3,,p11 po po
26446.jpg,2,2,1,p26 po,po
27094.jpg,2,1,2,pl60,pl40 pn
27505.jpg,3,3,0,i2 i4 i5,
28040.jpg,4,1,2,il100,il80 pl80
28320.jpg,3,1,2,pl20,pne i5
28592.jpg,2,0,3,,p11 pn pl40
30178.jpg,4,1,2,pl30,pl40 pl40
31372.jpg,3,2,1,po p12,io
31583.jpg,1,0,3,,pl60 io p11
3178.jpg,3,0,3,,pl40 ph4 po
32773.jpg,2,1,2,p11,p26 po
3304.jpg,1,0,3,,w13 pl30 pl5
33127.jpg,5,2,1,pl30 pl40,pl5
33292.jpg,5,1,2,w32,pl30 wo
33520.jpg,3,2,1,p11 pl60,pl80
3358.jpg,1,1,2,p3,ph5 p26
33768.jpg,5,1,2,pl50,i5 pl40
33871.jpg,3,2,1,p19 pne,p23
34548.jpg,4,1,2,pl50,i2 i4
34726.jpg,2,2,1,po pl20,p26
35507.jpg,4,1,2,w55,pl40 w32
35769.jpg,4,1,2,pl60,ph5 po
36412.jpg,4,3,0,pne i5 pne,
36857.jpg,5,2,1,pl50 p11,pl50
37451.jpg,9,0,3,,pl100 il80 pl80
38062.jpg,2,0,3,,pn pl40 pl60
38199.jpg,5,2,1,p26 pl50,p11
3838.jpg,1,0,3,,i5 io io
38587.jpg,1,1,2,pl20,pl60 pl70
39248.jpg,5,1,2,po,pl40 p11
39338.jpg,3,2,1,i5 i2,io
39762.jpg,4,0,3,,pn p11 i2
4001.jpg,3,2,1,pne pl30,pl40
40308.jpg,1,1,2,pl20,io p27
40317.jpg,1,0,3,,p5 i5 wo
40839.jpg,1,0,3,,pg pn io
41139.jpg,5,2,1,pl50 ph5,ph4.5
41372.jpg,4,3,0,i4 i2 i5,
41560.jpg,4,1,2,pl80,pl40 pl60
41889.jpg,2,2,1,po ip,p23
41940.jpg,1,1,2,po,p23 i5
41963.jpg,6,0,3,,il60 il60 il80
41988.jpg,1,1,2,pn,po pne
42293.jpg,5,2,1,pl50 p11,po
42818.jpg,4,1,2,w55,pl40 pn
42877.jpg,4,3,0,pl5 po i5,
43070.jpg,2,1,2,pl50,io io
43326.jpg,9,0,3,,il60 pl100 pl80
44244.jpg,2,1,2,po,pn p26
44980.jpg,5,1,2,pl50,pl40 w57
46120.jpg,4,1,2,pl50,pn pl40
46127.jpg,4,3,0,ph4 i4 po,
46204.jpg,2,0,3,,pn ip pl40
47144.jpg,2,1,2,po,pm30 w59
47240.jpg,5,3,0,pl40 p11 pn,
48565.jpg,2,1,2,pl30,pl40 pl60
48607.jpg,1,1,2,pm20,pl40 pl40
4867.jpg,3,2,1,p5 p10,p23
48738.jpg,1,1,2,pl120,pl70 pl20
49054.jpg,3,2,1,p19 p10,pl5
50739.jpg,6,2,1,pl100 il60,il80
51178.jpg,4,2,1,pl5 pl5,pm55
514.jpg,6,0,3,,il60 il80 il80
51551.jpg,2,1,2,p6,po po
52214.jpg,3,1,2,po,pn pn
52662.jpg,2,1,2,po,pl50 w13
54531.jpg,2,0,3,,ph5 ph4.5 pm20
54608.jpg,4,2,1,w57 i4,io
54844.jpg,3,1,2,pm30,io pl5
55437.jpg,2,1,2,w32,wo wo
56245.jpg,4,2,1,pl60 io,pl80
56263.jpg,1,1,2,pl100,pl80 w57
56537.jpg,3,2,1,p11 po,pl5
56922.jpg,9,2,1,pl40 ip,ip
57064.jpg,4,2,1,pl30 w57,pl60
58061.jpg,3,2,1,pl40 p11,i5
58281.jpg,2,1,2,ph4.5,ph4.5 ph5
58323.jpg,10,2,1,po pl80,pl40
58710.jpg,1,0,3,,i5 i2 i2
59013.jpg,3,1,2,p23,pl5 po
59223.jpg,1,1,2,p11,pl40 pl60
59877.jpg,1,0,3,,p10 p26 p10
60075.jpg,5,2,1,i4 i2,ph4
6017.jpg,3,1,2,pl60,pl80 w32
60636.jpg,3,2,1,p19 i5,po
61238.jpg,5,0,3,,p26 io pl80
61448.jpg,7,2,1,pl70 p10,pl40
62025.jpg,2,1,2,w57,w57 w13
62282.jpg,1,0,3,,pn pl30 pl50
62728.jpg,3,2,1,i2 ph4,io
62770.jpg,6,1,2,i4,i5 pl60
62790.jpg,4,1,2,pl50,pl40 pl60
63032.jpg,1,1,2,wo,w59 w57
63144.jpg,1,1,2,pl20,pl70 pl60
63276.jpg,2,1,2,pl60,io pl80
63436.jpg,4,2,1,pl50 pn,po
63581.jpg,3,2,1,p11 pl40,po
63799.jpg,2,0,3,,pl40 pn w55
63839.jpg,2,2,1,pl100 pl60,pl40
63840.jpg,5,2,1,p23 pl50,po
64499.jpg,3,1,2,pl20,pl70 p10
64626.jpg,2,1,2,w13,w57 w57
65357.jpg,7,0,3,,pl120 ph4.5 il80
65599.jpg,2,0,3,,pn pl5 p11
6560.jpg,6,2,1,il60 il60,pl100
66004.jpg,4,2,1,pne i5,pn
66096.jpg,5,0,3,,po ph5 p12
66549.jpg,3,1,2,ph4,ph4.5 ph4.5
6673.jpg,3,1,2,pl80,pl40 pl60
67401.jpg,3,2,1,io i2,il60
68066.jpg,6,2,1,p10 p12,p10
69108.jpg,3,3,0,p23 pg ip,
69513.jpg,3,0,3,,p26 pn pl80
71022.jpg,2,1,2,pl30,pne pl80
72001.jpg,1,1,2,pl30,pn pl5
72478.jpg,6,2,1,po po,po
73.jpg,9,1,2,pl80,pl100 il60
73163.jpg,1,0,3,,io pm30 p26
73464.jpg,3,2,1,pl40 po,pn
73624.jpg,3,2,1,pl100 pne,pl60
73700.jpg,4,1,2,pl80,i5 pl40
73802.jpg,7,1,2,pn,i5 pr40
73956.jpg,2,2,1,p6 p26,p10
74020.jpg,2,1,2,pl20,pl5 pl30
74535.jpg,5,1,2,pl80,pl40 pl60
74646.jpg,3,1,2,po,pl20 p10
74668.jpg,4,1,2,pl60,pl40 p5
76228.jpg,2,0,3,,pn io io
76677.jpg,3,1,2,w13,pl70 w57
77147.jpg,6,1,2,i2,pn i5
77276.jpg,2,1,2,p3,p26 p10
7736.jpg,8,0,3,,p10 p11 po
77439.jpg,1,1,2,p19,p23 w57
77983.jpg,1,0,3,,p26 po po
78226.jpg,3,0,3,,io io pl50
78233.jpg,4,0,3,,pn p11 pl40
7857.jpg,2,2,1,io io,i5
79027.jpg,1,1,2,p3,pl5 p26
79058.jpg,4,0,3,,ph5 p12 p12
79125.jpg,2,0,3,,po po po
80246.jpg,2,1,2,pl30,pne pne
80265.jpg,5,1,2,p23,pl40 po
8031.jpg,1,1,2,p23,p26 p10
80471.jpg,3,2,1,w55 pn,w32
80692.jpg,1,1,2,p19,p5 pl40
81455.jpg,2,0,3,,po i4 ip
81478.jpg,2,1,2,pl5,ph5 po
82524.jpg,3,1,2,pne,pn pn
8266.jpg,5,3,0,pl50 po p11,
82793.jpg,3,1,2,pl50,pl40 p11
82925.jpg,3,0,3,,p11 pl40 i2
83422.jpg,5,1,2,pn,pne pl30
83528.jpg,2,1,2,pm20,pl40 i4
8355.jpg,3,1,2,p11,pl40 p26
83888.jpg,6,2,1,po i2,pn
84263.jpg,5,1,2,il60,il80 il100
84617.jpg,2,1,2,pm20,pl40 wo
84626.jpg,1,1,2,p12,po pn
85481.jpg,1,1,2,pm30,w13 pl40
87288.jpg,2,1,2,pl30,pn pl80
87338.jpg,4,3,0,pl40 p11 pn,
87682.jpg,2,2,1,w32 w32,w59
87685.jpg,4,2,1,i4 pl50,i5
88267.jpg,7,1,2,pl80,pn pl40
88619.jpg,4,1,2,pl60,po pl50
88735.jpg,3,1,2,pl30,po pl5
89239.jpg,3,1,2,pl20,pm20 pl40
89453.jpg,5,1,2,pl70,pl40 pl60
89987.jpg,4,2,1,p26 ph4.5,pl50
90420.jpg,2,2,1,w13 w57,w59
90424.jpg,6,1,2,p3,pm30 pl30
90960.jpg,8,0,3,,po io p6
90985.jpg,4,1,2,pl60,pl40 i5
91027.jpg,10,1,2,pne,pn pl80
91213.jpg,2,0,3,,pn i2 i4
91261.jpg,2,0,3,,i4 i4 i5
91683.jpg,6,1,2,pl30,pl50 pn
91814.jpg,6,1,2,pn,i5 pl30
92054.jpg,2,1,2,po,pl50 w57
92523.jpg,2,1,2,pl30,pl80 pl60
93504.jpg,6,2,1,pl50 p11,p23
9356.jpg,6,1,2,i2,pn i5
94063.jpg,2,1,2,p12,pl40 p12
94691.jpg,2,0,3,,wo pl60 w32
94833.jpg,4,1,2,p6,po pl50
94966.jpg,3,1,2,pl50,pne pl5
95135.jpg,3,2,1,p6 po,po
96053.jpg,2,0,3,,pn p11 pl40
96661.jpg,6,2,1,pl60 io,pl40
96726.jpg,3,1,2,po,pn pl50
97496.jpg,2,0,3,,p26 po po
97597.jpg,2,1,2,i2,pn i4
97707.jpg,2,1,2,pl80,pl40 pl60
97727.jpg,2,0,3,,pn p11 pl40
97779.jpg,2,0,3,,pn pl80 i5
98114.jpg,1,1,2,p23,p10 po
98157.jpg,2,1,2,pl30,pl50 pn
9823.jpg,8,2,1,i5 pl40,i4
98598.jpg,4,1,2,pl60,pl80 io
1012.jpg,4,1,1,p26,po
10175.jpg,2,1,1,p5,pn
10214.jpg,2,1,1,pl60,pl80
10377.jpg,1,0,2,,i5 pne
10593.jpg,1,1,1,w59,w57
10790.jpg,2,1,1,pl30,pn
11229.jpg,1,1,1,pm30,pl30
11535.jpg,2,1,1,p12,po
12000.jpg,2,0,2,,ph4 ph4.5
12001.jpg,2,1,1,i2,io
12186.jpg,3,2,0,p26 p11,
12604.jpg,4,0,2,,i4 i5
12614.jpg,12,0,2,,p3 p3
12661.jpg,1,1,1,pl50,pl30
12847.jpg,1,1,1,po,p26
12858.jpg,2,1,1,p3,po
13073.jpg,2,0,2,,pl40 pn
13471.jpg,2,1,1,pl100,pl80
13497.jpg,7,1,1,p11,i4
13869.jpg,2,1,1,pl50,pl40
13919.jpg,4,2,0,p26 ph4.5,
14558.jpg,3,1,1,po,p11
14724.jpg,8,2,0,p26 p11,
14823.jpg,2,2,0,w13 pl20,
15237.jpg,3,1,1,w55,w32
15366.jpg,2,1,1,p12,po
15375.jpg,5,1,1,pl50,pl40
1557.jpg,1,1,1,p10,p11
15645.jpg,2,1,1,w13,w57
15705.jpg,5,1,1,po,pn
1616.jpg,1,0,2,,pne i5
16243.jpg,1,0,2,,pn pn
16394.jpg,2,0,2,,wo pl60
16705.jpg,2,0,2,,i5 i5
17721.jpg,1,0,2,,pg pg
17779.jpg,2,1,1,pl30,pl50
17805.jpg,1,1,1,pl20,pl40
17879.jpg,1,1,1,pl5,pl40
17892.jpg,3,1,1,pne,pl40
17985.jpg,6,0,2,,io i2
18447.jpg,3,1,1,pl50,pl80
18503.jpg,2,1,1,p11,pl5
18667.jpg,3,1,1,w55,w57
18733.jpg,2,1,1,pl60,pl40
18839.jpg,1,1,1,w32,wo
18985.jpg,1,0,2,,pn pl80
19000.jpg,2,0,2,,i4 io
19339.jpg,1,1,1,ph4,i4
19452.jpg,1,1,1,w32,wo
19471.jpg,2,1,1,pl60,pl80
1951.jpg,4,2,0,pl40 pl60,
198.jpg,1,1,1,p10,pl5
20194.jpg,1,1,1,pl30,pl40
20347.jpg,1,0,2,,pl70 po
2105.jpg,7,0,2,,il100 il100
21216.jpg,2,0,2,,io io
21378.jpg,2,1,1,pn,pl5
21671.jpg,3,0,2,,pn p11
2170.jpg,4,1,1,pl60,pl40
21960.jpg,2,1,1,i4,pn
22219.jpg,4,1,1,pne,pne
22409.jpg,2,0,2,,i2 io
22415.jpg,5,1,1,pl50,pl40
22428.jpg,1,0,2,,ph4.5 po
2257.jpg,1,1,1,w32,wo
22748.jpg,5,1,1,pl50,pl40
22904.jpg,2,1,1,w13,pl70
22974.jpg,2,1,1,pl20,pl40
23198.jpg,3,0,2,,i5 pne
23475.jpg,3,0,2,,po p5
23840.jpg,2,1,1,p10,p26
23962.jpg,3,1,1,pl30,pl80
24138.jpg,2,1,1,pl30,pl80
24178.jpg,3,1,1,pl60,pl40
24258.jpg,1,1,1,wo,w55
24348.jpg,1,0,2,,po p11
24425.jpg,5,1,1,po,pn
2453.jpg,1,1,1,pl80,pl40
24611.jpg,1,1,1,po,p6
2468.jpg,3,0,2,,pne p27
24747.jpg,5,1,1,pl50,pl40
24931.jpg,2,0,2,,i2 io
25279.jpg,2,1,1,pm55,pl30
25333.jpg,2,2,0,pl5 p11,
25839.jpg,2,1,1,i2,i4
25883.jpg,2,0,2,,pne i5
